LIST,SENTENCE,KEYWORD_01,KEYWORD_02,KEYWORD_03,KEYWORD_04,KEYWORD_05,NOTES
50,6. Tuck the sheet under the edge of the mat.,tuck,sheet,under,edge,mat,
50,7. A force equal to that would move the earth.,force,equal,would,move,earth,
50,8. We like to see clear weather.,we,like,see,clear,weather,
50,9. The work of the tailor is seen on each side.,work,tailor,seen,each,side,
50,10. Take a chance and win a china doll.,take,chance,win,china,doll,
51,"1. Shake the dust from your shoes, stranger.",shake,dust,your,shoes,stranger,
51,2. She was kind to sick old people.,she,kind,sick,old,people,
51,3. The dusty bench stood by the stone wall.,dusty,bench,stood,stone,wall,
51,4. The square wooden crate was packed to be shipped.,square,wooden,crate,packed,shipped,
51,5. We dress to suit the weather of most days.,dress,suit,weather,most,days,"Same here, “we” could be considered I believe but there are only five key words."
51,6. Smile when you say nasty words.,smile,when,you,nasty,words,I feel like “say” can be considered a key word since it’s used as a verb but there are only five key words so it wasn’t included.
51,7. A bowl of rice is free with chicken stew.,bowl,rice,free,chicken,stew,
51,8. The water in this well is a source of good health.,water,well,source,good,health,
51,"9. Take shelter in this tent, but keep still.",take,shelter,tent,keep,still,
51,10. That guy is the writer of a few banned books.,guy,writer,few,banned,books,
52,1. The little tales they tell are false.,little,tales,they,tell,False,
52,"2. The door was barred, locked, and bolted as well.",door,barred,locked,bolted,well,
52,3. Ripe pears are fit for a queen’s table.,ripe,pears,fit,queen’s,table,
52,4. A big wet stain was on the round carpet.,big,wet,stain,round,carpet,
52,"5. The kite dipped and swayed, but stayed aloft.",kite,dipped,swayed,stayed,aloft,
52,6. The pleasant hours fly by much too soon.,pleasant,hours,fly,much,soon,
52,7. The room was crowded with a wild mob.,room,was,crowded,wild,mob,
52,8. This strong arm shall shield your honor.,strong,arm,shall,shield,honor,"Same here, “your” could be considered I believe but there are only five key words."
52,9. She blushed when he gave her a white orchid.,blushed,when,gave,white,orchid,"Same here, ""she"" could be considered I believe but there are only five key words."
52,10. The beetle droned in the hot June sun.,beetle,droned,hot,June,sun,
53,1. Press the pedal with your left foot.,press,pedal,your,left,foot,
53,2. Neat plans fail without luck.,neat,plans,fail,without,luck,
53,3. The black trunk fell from the landing.,black,trunk,fell,from,landing,
53,4. The bank pressed for payment of the debt.,bank,pressed,for,payment,debt,
53,5. The theft of the pearl pin was kept secret.,theft,pearl,pin,kept,secret,
53,6. Shake hands with this friendly child.,shake,hands,this,friendly,child,
53,7. The vast space stretched into the far distance.,vast,space,stretched,far,distance,
53,8. A rich farm is rare in this sandy waste.,rich,farm,rare,sandy,waste,
53,9. His wide grin earned many friends.,wide,grin,earned,many,friends,"Same here, “his” could be considered I believe but there are only five key words."
53,10. Flax makes a fine brand of paper.,flax,makes,fine,brand,paper,
54,1. Hurdle the pit with the aid of a long pole.,hurdle,pit,aid,long,pole,
54,2. A strong bid may scare your partner stiff.,strong,bid,scare,partner,stiff,"Same here, “your” and “may” could be considered I believe but there are only five key words."
54,3. Even a just cause needs power to win.,just,cause,needs,power,win,I feel like “even” could be considered a key word but there are only five key words.
54,4. Peep under the tent and see the clowns.,peep,under,tent,see,clowns,
54,5. The leaf drifts along with a slow spin.,leaf,drifts,along,slow,spin,
54,6. Cheap clothes are flashy but don’t last.,cheap,clothes,flashy,don’t,last,
54,7. A thing of small note can cause despair.,thing,small,note,cause,despair,I feel like “can” could be considered a key word but there are only five key words.
54,8. Flood the mails with requests for this book.,flood,mails,requests,this,book,
54,9. A thick coat of black paint covered all.,thick,coat,black,paint,covered,
54,10. The pencil was cut to be sharp at both ends.,pencil,cut,sharp,both,ends,
55,1. Those last words were a strong statement.,those,last,words,strong,statement,I feel like “were” can be considered a key word since it’s a verb but there are only five key words so it wasn’t included.
55,2. He wrote his name boldly at the top of tile sheet.,wrote,name,boldly,tile,sheet,"Same here, “he”, “his”, and “top” could be considered I believe but there are only five key words."
55,3. Dill pickles are sour but taste fine.,dill,pickles,sour,taste,fine,
55,4. Down that road is the way to the grain farmer.,down,road,way,gain,farmer,
55,5. Either mud or dust are found at all times.,either,mud,dust,found,times,
55,6. The best method is to fix it in place with clips.,best,method,fix,place,clips,
55,7. If you mumble your speech will be lost.,you,mumble,your,speech,lost,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
55,8. At night the alarm roused him from a deep sleep.,night,alarm,roused,deep,sleep,"Same here, “him” could be considered I believe but there are only five key words."
55,9. Read just what the meter says.,read,just,what,meter,says,
55,10. Fill your pack with bright trinkets for the poor.,fill,pack,bright,trinkets,poor,"Same here, “your” could be considered I believe but there are only five key words."
56,1. The small red neon lamp went out.,small,red,neon,lamp,out,I feel like “went” can be considered a key word since it’s used as a verb but there are only five key words so it wasn’t included.
56,"2. Clams are small, round, soft, and tasty.",clams,small,round,soft,tasty,
56,3. The fan whirled its round blades softly.,fan,whirled,round,blades,softly,
56,4. The line where the edges join was clean.,line,where,edges,join,clean,
56,5. Breathe deep and smell the piny air.,breathe,deep,smell,piny,air,
56,6. It matters not if he reads these words or those.,matters,reads,these,words,those,"Same here, ""he"" could be considered I believe but there are only five key words."
56,7. A brown leather bag hung from its strap.,brown,leather,bag,hung,strap,
56,8. A toad and a frog are hard to tell apart.,toad,frog,hard,tell,apart,
56,9. A white silk jacket goes with any shoes.,white,silk,jacket,goes,shoes,
56,10. A break in the dam almost cause a flood.,break,dam,almost,caused,flood,
57,1. Paint the sockets in the wall dull green.,paint,sockets,wall,dull,green,
57,2. The child crawled into the dense grass.,child,crawled,into,dense,grass,
57,3. Bribes fail where honest men work.,bribes,fail,honest,men,work,
57,"4. Trample the spark, else the flames will spread.",trample,spark,else,flames,spread,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
57,5. The hilt of the sword was carved with fine designs.,hilt,sword,carved,fine,designs,
57,6. A round hole was drilled through the thin board.,round,hole,drilled,thin,board,I feel like “through” could be considered a key word but there are only five key words.
57,7. Footprints showed the path he took up the beach.,footprints,showed,path,took,beach,I feel like “he” and “up” could be considered a key word but there are only five key words.
57,8. She was waiting at my front lawn.,she,waiting,my,front,lawn,
57,9. A vent near the edge brought in fresh air.,vent,near,edge,fresh,air,I feel like “brought” could be considered a key word but there are only five key words.
57,10. Prod the old mule with a crooked stick.,prod,old,mule,crooked,stick,
58,1. It is a band of steel three inches wide.,band,steel,three,inches,wide,
58,2. The pipe ran almost the length of the ditch.,pipe,ran,almost,length,ditch,
58,3. It was hidden from sign by a mass of leaves and shrubs.,hidden,sight,mass,leaves,shrubs,
58,4. The weight of the package was seen on the high scale.,weight,package,seen,high,scale,
58,"5. Wake and rise, and step into the green outdoors.",wake,rise,step,green,outdoors,
58,6. The green light in the brown box flickered.,green,light,brown,box,flickered,
58,7. The brass tube circled the high wall.,brass,tube,circled,high,wall,
58,8. The lobes of her ears were pierced to hold rings.,lobes,ears,pierced,hold,rings,I feel like “her” and “were” could be considered key words but there are only five key words.
58,9. Hold the hammer near the end to drive the nail.,hold,hammer,end,drive,nail,"Same here, “near"" could be considered I believe but there are only five key words."
58,10. Next Sunday is the twelfth of the month.,next,Sunday,is,twelfth,month,I wasn’t sure which to include whether “is” or “the” so I included “is” for the key term since it is considered a verb.
59,1. Every word and phrase he speaks is true.,every,word,phrase,speaks,True,"Same here, ""he"" could be considered I believe but there are only five key words."
59,2. He put his last cartridge into the gun and fired.,put,last,cartridge,gun,fired,"Same here, “he” and “his” could be considered I believe but there are only five key words."
59,3. They took their kids from the public school.,they,took,kids,public,school,"Same here, “their” could be considered a key word I believe but there are only five key words."
59,4. Drive the screw straight into the wood.,drive,screw,straight,into,wood,
59,5. Keep the hatch tight and the watch constant.,keep,hatch,tight,watch,constant,
59,6. Sever the twine with a quick snip of the knife.,sever,twine,quick,snip,knife,
59,7. Paper will dry out when wet.,paper,dry,out,when,wet,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
59,8. Slide the catch back and open the desk.,slide,catch,back,open,desk,
59,9. Help the weak to preserve their strength.,help,weak,preserve,their,strength,
59,10. A sullen smile gets few friends.,sullen,smile,gets,few,friends,
60,1. Stop whistling and watch the boys march.,stop,whistling,watch,boys,March,
60,"2. Jerk the cord, and out tumbles the gold.",jerk,cord,out,tumbles,gold,
60,3. Slide the tray across the glass top.,slide,tray,across,glass,top,
60,4. The cloud moved in a stately way and was gone.,cloud,moved,stately,way,gone,
60,5. Light maple makes for a swell room.,light,maple,makes,swell,room,
60,6. Set the piece here and say nothing.,set,piece,here,say,nothing,
60,7. Dull stories make her laugh.,dull,stories,make,her,laugh,
60,8. A stiff cord will do to fasten your shoe.,stiff,cord,fasten,your,shoe,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
60,9. Get the trust fund to the bank early.,get,trust,fund,bank,early,
60,10. Choose between the high road and the low.,choose,between,high,road,low,
61,1. A plea for funds seems to come again.,plea,funds,seems,come,again,
61,2. He lent his coat to the tall gaunt stranger.,lent,coat,tall,gaunt,stranger,"Same here, “he” and “his” could be considered I believe but there are only five key words."
61,3. There is a strong chance it will happen once more.,strong,chance,happen,once,more,"Same here, “his” could be considered I believe but there are only five key words."
61,4. The duke left the park in a silver coach.,duke,left,park,silver,coach,
61,5. Greet the new guests and leave quickly.,greet,new,guests,leave,quickly,
61,6. When the frost has come it is time for turkey.,when,frost,come,time,turkey,
61,7. Sweet words work better than fierce.,sweet,words,work,better,fierce,
61,8. A thin stripe runs down the middle.,thin,stripe,runs,down,middle,
61,9. A six comes up more often than a ten.,six,comes,more,often,ten,I feel like “up” could be considered a key word but there are only five key words.
61,10. Lush fern grow on the lofty rocks.,lush,fern,grow,lofty,rocks,
62,1. The ram scared the school children off.,ram,scared,school,children,off,
62,2. The team with the best timing looks good.,team,best,timing,looks,good,
62,3. The farmer swapped his horse for a brown ox.,farmer,swapped,horse,brown,ox,"Same here, “his” could be considered I believe but there are only five key words."
62,4. Sit on the perch and tell the others what to do.,sit,perch,tell,others,do,
62,5. A steep trail is painful for our feet.,steep,trail,painful,our,feet,
62,6. The early phase of life moves fast.,early,phase,life,moves,fast,
62,7. Green moss grows on the northern side.,green,moss,grows,nothern,side,
62,8. Tea in thin china has a sweet taste.,tea,thin,china,sweet,taste,
62,9. Pitch the straw through the door of the stable.,pitch,straw,through,door,stable,
62,10. The latch on the beck gate needed a nail.,latch,beck,gate,needed,nail,
63,1. The goose was brought straight from the old market.,goose,brought,straight,old,market,
63,2. The sink is the thing in which we pile dishes.,sink,thing,which,pile,dishes,"Same here, “we” could be considered I believe but there are only five key words."
63,3. A whiff of it will cure the most stubborn cold.,whiff,cure,most,stubborn,child,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
63,4. The facts don’t always show who is right.,facts,don’t,always,show,right,I feel like “who” can be considered a key word but there are only five key words.
63,5. She flaps her cape as she parades the street.,she,flaps,cape,parades,street,"Same here, ""her"" and the second “she” could be considered I believe but there are only five key words."
63,6. The loss of the cruiser was a blow to the fleet.,loss,cruiser,was,blow,fleet,
63,7. Loop the braid to the left and then over.,loop,braid,left,then,over,
63,8. Plead with the lawyer to drop the lost cause.,plead,lawyer,drop,lost,cause,
63,9. Calves thrive on tender spring grass.,calves,thrive,tender,spring,grass,
63,10. Post no bills on this office wall.,post,no,bills,office,wall,
64,1. Tear a thin sheet from the yellow pad.,tear,thin,sheet,yellow,pad,
64,2. A cruise in warm waters in a sleek yacht is fun.,cruise,warm,waters,sleek,yacht,"More than five key words, first five were selected."
64,3. A streak of color ran down the left edge.,streak,color,ran,down,left,"More than five key words, first five were selected."
64,4. It was done before the boy could see it.,done,before,boy,could,see,
64,5. Crouch before you jump or miss the mark.,crouch,before,jump,miss,mark,"Same here, “you"" could be considered I believe but there are only five key words."
64,6. Pack the kits and don’t forget the salt.,pack,kits,don’t,forget,salt,
64,7. The square peg will settle in the round hole.,square,peg,settle,round,hole,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
64,8. Fine soap saves tender skin.,fine,soap,saves,tender,skin,
64,9. Poached eggs and tea must suffice.,poached,eggs,tea,must,suffice,
64,10. Bad nerves are jangled by a door slam.,bad,nerves,jangled,door,slam,
65,1. Ship maps are different from those for planes.,ship,maps,different,those,planes,
65,2. Dimes showered down from all sides.,dimes,showered,down,all,sides,
65,3. They sang the same tunes at each party.,sang,same,tunes,each,party,"Same here, “they” could be considered I believe but there are only five key words."
65,4. The sky in the west is tinged with orange red.,sky,west,tinged,orange,red,
65,5. The pods of peas ferment in bare fields.,pods,peas,ferment,bare,fields,
65,6. The horse balked and threw the tall rider.,horse,balked,threw,tall,rider,
65,7. The hitch between the horse and cart broke.,hitch,between,horse,cart,broke,
65,8. Pile the coal high in the shed corner.,pile,coal,high,shed,corner,
65,9. The gold vase is both rare and costly.,gold,vase,both,rare,costly,
65,10. The knife was hung inside its bright sheath.,knife,hung,inside,bright,sheath,
66,1. The rarest spice comes from the far East.,rarest,spice,comes,far,East,
66,2. The roof should be tilted at a sharp slant.,roof,should,tilted,sharp,slant,
66,3. A smatter of French is worse than none.,smatter,French,worse,than,none,
66,4. The mule trod the treadmill day and night.,mule,trod,treadmill,day,night,
66,5. The aim of the contest is to raise a great fund.,aim,contest,raise,great,fund,
66,6. To send it now in large amounts is bad.,send,now,large,amounts,bad,
66,7. There is a fine hard tang in salty air.,fine,hard,tang,salty,air,
66,8. Cod is the main business of the north shore.,cod,main,business,north,shore,
66,9. The slab was hewn from heavy blocks of slate.,slab,hewn,heavy,blocks,slate,
66,10. Dunk the stale biscuits into strong drink.,dunk,stale,biscuits,strong,drink,
67,1. Hang tinsel from both branches.,hang,tinsel,from,both,branches,
67,2. Cap the jar with a tight brass cover.,cap,jar,tight,brass,cover,
67,3. The poor boy missed the boat again.,poor,boy,missed,boat,again,
67,4. Be sure to set the lamp firmly in the hole.,sure,set,lamp,firmly,hole,
67,5. Pick a card and slip it under the pack.,pick,card,slip,under,pack,
67,6. A round mat will cover the dull spot.,round,mat,cover,dull,spot,
67,7. The first part of the plan needs to change.,first,part,plan,needs,change,
67,8. The good book informs of what we ought to know.,good,book,informs,ought,know,"Same here, “we” could be considered I believe but there are only five key words."
67,9. The mail comes in three batches per day.,mail,comes,three,batches,day,
67,10. You cannot brew tea in a cold pot.,cannot,brew,tea,cold,pot,"Same here, “you"" could be considered I believe but there are only five key words."
68,1. Dots of light betrayed the black cat.,dots,light,betrayed,black,cat,
68,2. Put the chart on the mantel and tack it down.,put,chart,mantel,tack,down,
68,3. The nightshift men rate extra pay.,nightshift,men,rate,extra,pay,
68,4. The red paper brightened the dim stage.,red,paper,brightened,dim,stage,
68,5. See the player scoot to third base.,see,player,scoot,third,base,
68,6. Slide the bill between the two leaves.,slide,bill,between,two,leaves,
68,7. Many hands help get the job done.,many,hands,help,job,done,
68,8. We don’t like to admit our small faults.,don’t,like,admit,small,faults,I feel like “like” and “our” could be considered key words but there are only five key words.
68,9. No doubt about the way the wind blows.,doubt,about,way,wind,blows,I feel like “no” could be considered a key word but there are only five key words.
68,10. Dig deep in the earth for pirate’s gold.,dig,deep,earth,pirate’s,gold,
69,1. The steady drip is worse than a drenching rain.,steady,drip,worse,drenching,rain,
69,2. A flat pack takes less luggage space.,flat,pack,takes,less,luggage,"More than five key words, first five were selected."
69,3. Green ice frosted the punch bowl.,green,ice,frosted,punch,bowl,
69,4. A stuffed chair slipped from the moving van.,stuffed,chair,slipped,moving,van,
69,5. The stitch will serve but needs to be shortened.,stitch,will,serve,needs,shortened,
69,6. A thin book fits in the side pocket.,thin,book,fits,side,pocket,
69,7. The gloss on top made it unfit to read.,gloss,top,made,unfit,read,
69,8. The hail pattered on the burnt brown grass.,hail,pattered,burnt,brown,grass,
69,9. Seven seals were stamped on great sheets.,seven,seals,stamped,great,sheets,I feel like “were” can be considered a key word but there are only five key words so it wasn’t included.
69,10. Our troops are set to strike heavy blows.,troops,set,strike,heavy,blows,"Same here, “our” could be considered I believe but there are only five key words."
70,1. The store was jammed before the sale could start.,store,jammed,before,sale,start,"Same here, “could” could be considered a key word but there are only five key words."
70,2. It was a bad error on the part of the new judge.,bad,error,part,new,judge,
70,3. One step more and the board will collapse.,one,step,more,board,collapse,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
70,4. Take the match and strike it against your shoe.,take,match,strike,against,shoe,"Same here, “your” could be considered I believe but there are only five key words."
70,"5. The pot boiled, but the contents failed to jell.",pot,boiled,contents,failed,jell,
70,6. The baby puts his right foot in his mouth.,baby,puts,right,foot,mouth,"Same here, “his” could be considered I believe but there are only five key words."
70,7. The bombs left most of the town in ruins.,bombs,left,most,town,ruins,
70,8. Stop and stare at the hard working man.,stop,and,stare,hard,working,Hardworking is split into two words since there weren’t enough key words.
70,9. The streets are narrow and full of sharp turns.,streets,narrow,full,sharp,turns,
70,10. The pup jerked the leash as he saw a feline shape.,pup,jerked,leash,feline,shape,"More than five key words, first five were selected. “He” could be considered a key word but there are only five keys words."
71,1. Open your book to the first page.,open,your,book,first,page,
71,"2. Fish evade the net, and swim off.",fish,evade,net,swim,off,
71,3. Dip the pail once and let it settle.,dip,pail,once,let,settle,
71,4. Will you please answer that phone.,will,you,please,answer,phone,
71,5. The big red apple fell to the ground.,big,red,apple,fell,ground,
71,6. The curtain rose and the show was on.,curtain,rose,show,was,on,
71,7. The young prince became heir to the throne.,young,prince,became,heir,throne,
71,8. He sent the boy on a short errand.,he,sent,boy,short,errand,
71,9. Leave now and you will arrive on time.,leave,now,will,arrive,time,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
71,10. The corner store was robbed last night.,corner,store,robbed,last,night,
72,1. A gold ring will please almost any girl,gold,ring,please,almost,girl,"More than five key words, first five were selected. “Will” could be considered a key word but there are only five keys words."
72,2. The long journey home took a year.,long,journey,home,took,year,
72,3. She saw a cat in the neighbor’s house.,she,saw,cat,neighbor’s,house,
72,4. A pink shell was found on the sandy beach.,pink,shell,found,sandy,beach,
72,5. Small children came to see him.,small,children,came,see,him,
72,6. The grass and bushes were wet with dew.,grass,bushes,were,wet,dew,
72,7. The blind man counted his old coins.,blind,man,counted,old,coins,"Same here, “his” could be considered I believe but there are only five key words."
72,8. A severe storm tore down the barn.,severe,storm,tore,down,barn,
72,9. She called his name many times.,she,called,his,name,many,"More than five key words, first five were selected."
72,"10. When you hear the bell, come quickly.",when,hear,bell,come,quickly,"Same here, “you” could be considered but there are only five key words."
